rank,company_name,tier_type,turnover_band,approx_turnover_cr,approx_turnover_usd_m,employee_count,revenue_per_employee_cr,revenue_per_employee_usd_m,industry_category,deals_in,city,state,year_established,is_star_exporter,iec_code,gst_number,cin,website,registered_address,business_model_summary
1,ARVA AGRO TRADING PRIVATE LIMITED,Tier A: Micro Cash-Machine (1-10 Staff),251 - 500 Cr,375.0,450.0,1-10,37.5,45.0,Agricultural or Allied Products,Goods,Rangareddy,Telangana,2022,False,AAXCA0809P,36AAXCA0809P1Z0,,https://arvaagro.com/,"Flat no. 402, A block, Vasavi shanthinikethan, Kondapur, Hyderabad, RANGAREDDY, TELANGANA, 500084",High-volume merchant export trading desk
2,NALINI JEWELLERS,Tier A: Micro Cash-Machine (1-10 Staff),101-250 Cr,175.0,210.0,1-10,17.5,21.0,Gems and Jewellery Products,Goods,Central Delhi,Delhi,1986,False,0588057541,07AAEFN2292D1ZH,,,"16-2646/49 BANK STREET, KAROL BAGH, NEW DELHI, CENTRAL DELHI, DELHI, 110005",High-volume merchant export trading desk
3,INTER GLOBE SERVICES,Tier A: Micro Cash-Machine (1-10 Staff),101-250 Cr,175.0,210.0,1-10,17.5,21.0,Textile & Apparel Products,Goods,Mumbai Suburban,Maharashtra,1974,False,0388000856,27AAAFI0544H1ZP,,,"124 VIRAJ, 2ND FLOOR, S. V. ROAD, KHAR WEST, MUMBAI, MUMBAI SUBURBAN, MAHARASHTRA, 400052",High-volume merchant export trading desk
4,M A TEXTILES PRIVATE LIMITED,Tier A: Micro Cash-Machine (1-10 Staff),101-250 Crores,175.0,210.0,1-10,17.5,21.0,Textile & Apparel Products,Goods,Mumbai,Maharashtra,1988,False,0316956228,27AAACM9949H1Z0,,https://www.shreeramtextiles.com,"28 RAMESH BHAVAN 89 TAMBAKANTA PYDHONIE, 28 RAMESH BHAVAN 89 TAMBAKANTA PYDHONIE",High-volume merchant export trading desk
5,SEEDS & GRAINS INDIA PRIVATE LIMITED,Tier B: Lean Scale Powerhouse (11-50 Staff),251-500 Crores,375.0,450.0,11-50,7.5,9.0,Others (Goods),Goods,Karim Ganj,Assam,2002,False,0504015923,18AAICS0473L2ZY,,https://www.seeds-grains.com,"EAST MARKET, P.O, KARIM GANJ BAZAR",High-volume merchant export trading desk
6,UNIVERSAL IMPORT EXPORT AND HOSPITALITY PRIVATE LIMITED,Tier B: Lean Scale Powerhouse (11-50 Staff),251 - 500 Cr,375.0,450.0,11-50,7.5,9.0,Miscellaneous Products,Both goods and services,Mumbai Suburban,Maharashtra,1984,False,AAACU0664M,27AAACU0664M2Z2,,https://www.universalgroup.co,"HOTEL AIR LINK, 75 OFF NEHRU ROAD, Contact No: 919820700012, VILE PARLE EAST, MUMBAI SUBURBAN, MAHARASHTRA, 400099",High-volume merchant export trading desk
7,KANIN COMMERCE PRIVATE LIMITED,Tier A: Micro Cash-Machine (1-10 Staff),26 - 100 Cr,63.0,75.6,1-10,6.3,7.56,Textile & Apparel Products,Goods,East Delhi,Delhi,2019,True,AAHCK4444Q,07AAHCK4444Q1ZY,U31909DL2019PTC344280,https://www.kaninoriginals.com,"519/1/6 2ND FLOOR SANSAR COMPOUND, NEAR MANSAROVAR PARK METRO STATION GRAND TRUNK ROAD DILSHAD GARDEN, Delhi, EAST DELHI, DELHI, 110095","Kanin Commerce Pvt. Ltd. is a leading Indian garment manufacturer and exporter specializing in premium-quality apparel for global markets. Recognized by the Government of India as a Star Export House, we are committed to delivering excellence in qual"
8,KOURA FINE DIAMOND JEWELRY LIMITED,Tier A: Micro Cash-Machine (1-10 Staff),26 - 100 Cr,63.0,75.6,1-10,6.3,7.56,Gems and Jewellery Products,Both goods and services,Ahmadabad,Gujarat,2022,False,AAJCK4106H,24AAJCK4106H1ZS,U36999GJ2022PLC130379,https://kourajewelry.com,"BEHIND STAR INDIA BAZAR, 304 ISCON EMPORIO, JODHPUR CROSS ROAD, SATELITE, AHMEDABAD, AHMEDABAD, AHMADABAD, GUJARAT, 380015","Koura Fine Diamond Jewelry Limited is an Indian jewelry Company Engaged in the design, manufacturing and sale of Gold and Diamond Jewelry. Established in 2022 and headquartered in Ahmedabad, Gujarat, the company specializes in Rings, Earrings, Pendan"
9,ANNAPURNA JEWELLERS,Tier A: Micro Cash-Machine (1-10 Staff),26-100 Crores,63.0,75.6,1-10,6.3,7.56,Gems and Jewellery Products,Goods,Ongole,Andhra Pradesh,2007,False,AAOFA2146H,37AAOFA2146H1ZG,,https://sites.google.com/view/annapurna-jewellers/home,GROUND FLOOR 28-1-122,"Annapurna Jewellers — Company Profile Established in 2007, Annapurna Jewellers is an established jewellery business engaged in the wholesale and retail trade of precious-metal jewellery, with a growing focus on international business. Over the years,"
10,DHARA COLOURCHEM PRIVATE LIMITED,Tier A: Micro Cash-Machine (1-10 Staff),26-100 Crores,63.0,75.6,1-10,6.3,7.56,Chemicals or Allied Products,Both goods and services,Vatva,Gujarat,2020,False,AAICD0050C,24AAICD0050C1ZF,U24100GJ2020PTC116657,https://www.dharacolourchem.com,"PLOT NO: 146/2, PHASE I, OPP. OLD MP UDHYOG, GIDC","We are an Indian manufacturer and exporter of nutraceutical supplements and pregnancy test kits. We offer third-party manufacturing (private labeling) and also supply products under our own brand, FEASY.  Our product range includes tablets, capsules,"
11,UPGRIT TECHNOLOGIES PRIVATE LIMITED,Tier A: Micro Cash-Machine (1-10 Staff),26 - 100 Cr,63.0,75.6,1-10,6.3,7.56,Textile & Apparel Products,Goods,Mumbai Ift Mumbai,Maharashtra,2021,True,AACCU8932C,27AACCU8932C1ZB,U72900MH2021PTC365465,https://www.xcmart.co,"904 9TH FLOOR, GOLD CREST BUSINESS PARK, L.B.S MARG, SHREYAS CINEMA ROAD MUMBAI SUBURBAN, MUMBAI IFT MUMBAI, MAHARASHTRA, 400086","We are a Cloud factory for Bed & Bath Linen for Hospitality and Home Textiles. Enroute to resolving Trust, Transparency and Quality for Bed & Bath linen across the globe. Our vision is to pioneer a circular economy for Bed & Bath linen by providing p"
12,CUPID POWER PRIVATE LIMITED,Tier A: Micro Cash-Machine (1-10 Staff),26-100 Crores,63.0,75.6,1-10,6.3,7.56,Agricultural or Allied Products,Goods,Shimlaguri,Assam,2008,False,AADCC2970K,18AADCC2970K2ZF,U45203WB2008PTC123514,,"Shri Hari Industries, Jakhlirpar, Shimlaguri, Baksa, Near Biswakarma Motor Works",High-volume merchant export trading desk
13,KISHAN CORPORATION,Tier A: Micro Cash-Machine (1-10 Staff),26 - 100 Cr,63.0,75.6,1-10,6.3,7.56,Wholesale Trade Services,Both goods and services,Thangadh,Gujarat,2018,False,AATFK2264R,24AATFK2264R1ZK,,https://www.arvispackaging.com,"STATION ROAD, THANGADH, THANGADH, SURENDRA NAGAR, GUJARAT, 363530",High-volume merchant export trading desk
14,MAHALAXMI DALL MILL,Tier A: Micro Cash-Machine (1-10 Staff),26 - 100 Cr,63.0,75.6,1-10,6.3,7.56,Food Products,Goods,.,Uttar Pradesh,1986,False,0607006757,09AAUPK8236C1ZD,,https://www.sesameseeds.co.in,"2520345.2691359.9415039565. KANPUR UP, KANPUR NAGAR., UTTAR PRADESH. 208003, ElTRah onT 7TH /",High-volume merchant export trading desk
15,NEOTEX POLYMER & PACKAGING PRIVATE LIMITED,Tier A: Micro Cash-Machine (1-10 Staff),26 - 100 Cr,63.0,75.6,1-10,6.3,7.56,Plastic and Allied Products,Goods,Gandhinagar,Gujarat,2010,False,0811000206,24AADCN4404F1ZY,U51100GJ2010PTC062841,,"PLOT NO. SECTOR 8, Contact No: 079-",High-volume merchant export trading desk
