tier_label,approx_cr,turnover_band,company_name,industry_category,deal_in,is_star,employees,city,iec_code,gst_number,cin,website,year_established,total_products,catalog_listed
Tier 1: Mega Enterprise (> ₹500 Cr / > $60M+ USD),500.0,Above 500+ Cr,Star Wire India Ltd,Metal & Articles of Metal,Goods,True,1000+,New,0288008901,06AAECS1124Q1Z8,,https://www.starwire.in,1981,0,0
Tier 1: Mega Enterprise (> ₹500 Cr / > $60M+ USD),500.0,Above 500+ Crores,METALMAN AUTO LIMITED,Metal & Articles of Metal,Goods,False,1000+,New Delhi,3003001965,07AABCM5441M3Z9,U34103DL1986PLC305213,https://www.metalmanauto.com,1986,22,0
Tier 1: Mega Enterprise (> ₹500 Cr / > $60M+ USD),500.0,Above 500+ Crores,KAJARIA CERAMICS LIMITED,Chemicals or Allied Products,Goods,False,1000+,Delhi,0588085243,07AABCK1613R2ZC,7595 of 1985,https://www.kajariaceramics.com/,1985,1,0
Tier 1: Mega Enterprise (> ₹500 Cr / > $60M+ USD),500.0,Above 500+ Crores,HAVELLS INDIA LIMITED,Electronic Products,Goods,False,1000+,Delhi,0588160385,07AAACH0351E1Z7,,https://www.havells.com,1983,0,0
Tier 1: Mega Enterprise (> ₹500 Cr / > $60M+ USD),500.0,Above 500+ Cr,S.A.N. GARMENT MANUFACTURING PRIVATE LIMITED,Textile & Apparel Products,Goods,False,1000+,New Delhi,0599003197,06AAKCS4358L1ZU,U17121DL2006PTC153929,https://www.sanglobalfashion.com,2006,0,0
Tier 1: Mega Enterprise (> ₹500 Cr / > $60M+ USD),500.0,Above 500+ Crores,MODELAMA EXPORTS PVT LTD.,Textile & Apparel Products,Goods,False,1000+,Okhla Industrial Area,0500073082,06AAACM4832B1Z0,U74899DL1995PTC071844,,1995,0,0
Tier 1: Mega Enterprise (> ₹500 Cr / > $60M+ USD),500.0,Above 500+ Cr,SHRIRAM PISTONS AND RINGS LIMITED,Engineering Products,Goods,False,1000+,Central Delhi,0588082554,07AAACS0229G1ZR,,https://shrirampistons.com/,1972,0,0
Tier 1: Mega Enterprise (> ₹500 Cr / > $60M+ USD),500.0,Above 500+ Cr,JBM ELECTRIC VEHICLES PRIVATE LIMITED DOFT,"Automobiles, Aircrafts and Other Transport Equipment",Both goods and services,False,500-1000,New,AAECJ8030E,06AAECJ8030E1ZV,U34100DL2020PTC363195,https://www.jbmgroup.com/,2020,5,0
Tier 1: Mega Enterprise (> ₹500 Cr / > $60M+ USD),500.0,Above 500+ Cr,JRG AUTOMOTIVE INDUSTRIES INDIA PRIVATE LIMITED,Plastic and Allied Products,Goods,False,500-1000,Delhi,0512076391,06AASCS3288F1ZW,U35990DL2012PTC245065,https://jrgindia.com,2012,4,0
Tier 1: Mega Enterprise (> ₹500 Cr / > $60M+ USD),500.0,Above 500+ Crores,HUGHES SYSTIQUE PRIVATE LIMITED,Information Technology (IT & ITES) Services,Both goods and services,False,500-1000,Westend Greens,0505077744,06AACCB6600N2ZP,U72200DL2005PTC139005,https://www.hsc.com/,2005,0,0
Tier 1: Mega Enterprise (> ₹500 Cr / > $60M+ USD),500.0,Above 500+ Crores,CONNEDIT BUSINESS SOLUTIONS PRIVATE LIMITED,Food Products,Goods,False,250-500,Central Delhi,AAHCC0850A,23AAHCC0850A1ZF,U74999DL2017PTC320255,,2017,12,0
Tier 1: Mega Enterprise (> ₹500 Cr / > $60M+ USD),500.0,Above 500+ Crores,SARITA HANDA EXPORTS PRIVATE LIMITED,Textile & Apparel Products,Goods,False,250-500,Defence Colony,0501036636,06AAACS2679A1ZN,55-51842,https://www.saritahandaexports.com,1993,1,0
Tier 1: Mega Enterprise (> ₹500 Cr / > $60M+ USD),500.0,Above 500+ Cr,ARSENAL INFOSOLUTIONS PRIVATE LIMITED FT,Information Technology (IT & ITES) Services,Both goods and services,False,51-100,Central Delhi,AAPCA3584M,07AAPCA3584M1Z1,U74999DL2017PTC314926,,2017,0,0
Tier 2: Large Enterprise (₹250 Cr – ₹500 Cr / $30M–$60M USD),375.0,101-250 Cr,BHARAT INTERNATIONAL PRIVATE LIMITED,Food Products,Goods,True,11-50,Delhi,0514055375,07AAACB8002G2Z4,,https://biplexports.com,1994,0,0
Tier 2: Large Enterprise (₹250 Cr – ₹500 Cr / $30M–$60M USD),375.0,101-250 Cr,ALPINE APPARELS PRIVATE LIMITED,Leather Products,Goods,False,1000+,South Delhi,0588032522,06AADCA0100D1ZS,,https://www.alpineapparels.com,1995,0,0
