hsn_id,hsn_code,description,category_id,subcategory_id,sector_id
833a7372-7982-4764-b107-1f4086236fca,01011010,"LIVE HORSES, ASSES, MULES AND HINNIES PURE-BRED BREEDING ANIMALS HORSES",92aaad4f-6968-430d-8176-e12fbea35869,a223d992-108c-4d08-b6b9-1facb18c5a06,51
15e69de2-0dce-4e7e-b4b8-f0ed5ce3393a,01011020,"LIVE HORSES, ASSES, MULESANDHINNIES PURE-BRED BREEDING ANIMALS ASSES",92aaad4f-6968-430d-8176-e12fbea35869,a223d992-108c-4d08-b6b9-1facb18c5a06,51
2ce7cbb3-0736-4196-a68b-cf7176389ca3,01011090,"LIVE HORSES, ASSES, MULES AND HINNIES PURE-BRED BREEDING ANIMAL S OTHER",92aaad4f-6968-430d-8176-e12fbea35869,a223d992-108c-4d08-b6b9-1facb18c5a06,51
fbb5f888-665a-4ea3-984c-2fe2f926b3f2,01012100,PURE-BRED BREEDING ANIMALS,92aaad4f-6968-430d-8176-e12fbea35869,a223d992-108c-4d08-b6b9-1facb18c5a06,51
1ff9d9ad-136a-4932-bda6-a2715a425a7e,01012910,Horses for polo,92aaad4f-6968-430d-8176-e12fbea35869,a223d992-108c-4d08-b6b9-1facb18c5a06,51
5b6708b6-6a57-498a-84c0-9d7fe493ebec,01012990,other,92aaad4f-6968-430d-8176-e12fbea35869,a223d992-108c-4d08-b6b9-1facb18c5a06,51
f33d6b95-f691-4dc1-8a55-f9c7e4527922,01013010,Pure-bred breeding animals,92aaad4f-6968-430d-8176-e12fbea35869,a223d992-108c-4d08-b6b9-1facb18c5a06,51
af38c15e-2b4f-480f-ae93-8a5db7bcdb5e,01013020,livestock,92aaad4f-6968-430d-8176-e12fbea35869,a223d992-108c-4d08-b6b9-1facb18c5a06,51
89ce7d10-96b9-41cc-931c-2437ae98673c,01013090,other,92aaad4f-6968-430d-8176-e12fbea35869,a223d992-108c-4d08-b6b9-1facb18c5a06,51
d0715f12-e94d-47c4-9e2b-c2229dbcff44,01019010,"LIVE HORSES, ASSES, MULES AND HINNIES - OTHER - HORSES FOR POLO",92aaad4f-6968-430d-8176-e12fbea35869,a223d992-108c-4d08-b6b9-1facb18c5a06,51
