sac_id,sac_code,description,sac_group_id,sector_id
dfc462b6-2708-49e4-b5ea-62e4867bfc74,995411,Construction services of single dwelling or multi dwelling or multi-storied residential buildings,1,76
7244c50e-c82f-4cbd-9737-bb2d274cd47d,995412,"Construction services of other residential buildings such as old age homes, homeless shelters, hostels and the like",1,76
aac7624d-3048-4449-b67d-4f023515749e,995413,"Construction services of industrial buildings such as buildings used for production activities (used for assembly line activities), workshops, storage buildings and other similar industrial buildings",1,76
af62030e-820b-4db3-bbab-171b8d1deacc,995414,"Construction services of commercial buildings such as office buildings, exhibition and marriage halls, malls, hotels, restaurants, airports, rail or road terminals, parking garages, petrol and service stations, theatres and other similar buildings",1,76
6e9d0ec9-11b2-4318-8f56-fffea362fd75,995415,"Construction services of other non-residential buildings such as educational institutions, hospitals, clinics including veterinary clinics, religious establishments, courts, prisons, museums and other similar buildings",1,76
6c599cd3-00c8-4f6c-86fe-5a33c21012b9,995416,Construction services of other buildings nowhere else classified,1,76
89cf9812-dbfd-4081-a76e-021903cacd6f,995417,"(i) Construction services of commercial buildings such as office buildings, exhibition and marriage halls, malls, hotels, restaurants, airports, rail or road terminals, parking garages, petrol and service stations, theatres and other similar buildings (i.",1,76
6e68edd2-08df-4bb4-83a3-6a4a5b81003f,995418,"Services by way of house-keeping, such as plumbing, carpentering, etc. where the person supplying such service through electronic commerce operator is not liable for registration under sub-section (1) of section 22 of the Central Goods and Services Tax A.",1,76
6617904b-11f9-4708-8a9e-74a3c9a204b5,995419,"Services involving repair, alterations, additions, replacements, renovation, maintenance or remodeling of the buildings covered above",1,76
5bd85185-bf42-46e5-9a87-f7ce7ec3a59b,995421,"General construction services of highways, streets, roads, railways and airfield runways, bridges and tunnels",1,76
bdff2f01-244a-470b-b26d-44fd7e66fd23,995422,"General construction services of harbours, waterways, dams, water mains and lines, irrigation and other waterworks",1,76
7e42bc46-0218-4533-8882-e3f4a49f791a,995423,"General construction services of long-distance underground/ overland/ submarine pipelines, communication and electric power lines (cables); pumping stations and related works; transformer stations and related works",1,76
115c8d27-05d8-405b-b5b4-ede89e92f738,995424,"General construction services of local water and sewage pipelines, electricity and communication cables and related works",1,76
4db80881-c883-4e1f-995e-b2b3a09de7c6,995425,General construction services of mines and industrial plants,1,76
8cfe3712-bf3b-4fb3-b9ba-72145adf7d57,995426,General Construction services of Power Plants and its related infrastructure,1,76
7291c2ee-bbe4-4238-95d2-eb78a5ec1df4,995427,General construction services of outdoor sport and recreation facilities,1,76
07f9ce40-d614-46f5-9fb4-f436519a06e3,995428,General construction services of other civil engineering works nowhere else classified,1,76
c7c15244-32b5-4a2f-b596-ee50494fb500,995429,"Services involving repair, alterations, additions, replacements, renovation, maintenance or remodeling of the constructions covered above",1,76
02b0c344-dfce-4f69-a6ba-ab05392016c1,995431,Demolition services,1,76
91b5d377-7dda-4aa1-9b34-fa28b0c7cf48,995432,"Site formation and clearance services including preparation services to make sites ready for subsequent construction work, test drilling and boring and core extraction, digging of trenches",1,76
5d8d7842-5e43-486f-9d2f-8e9e2ee7b9ef,995433,Excavating and earthmoving services,1,76
ef357071-442c-486b-9d80-5b8bc209925b,995434,Water well drilling services and septic system installation services,1,76
7008c984-3efe-4351-9adf-1c061493cecf,995435,Other site preparation services nowhere else classified,1,76
81ddf943-6b56-4591-872c-8f6d5f6045eb,995439,"Services involving repair, alterations, additions, replacements, maintenance of the constructions covered above",1,76
dc7195b4-74fd-4ba3-80e7-17415c4b935a,995441,"Installation, assembly and erection services of prefabricated buildings",1,76
754c2139-5308-4daa-aadf-f53aac2e0d7f,995442,"Installation, assembly and erection services of other prefabricated structures and constructions",1,76
f9ab283d-29da-491b-ab4e-49c2d587a1d1,995443,"Installation services of all types of street furniture (such as bus shelters, benches, telephone booths, public toilets, and the like)",1,76
1f981a74-02a0-4b59-a1f3-8a658a1b138a,995444,Other assembly and erection services nowhere else classified,1,76
1eb1fd6d-397b-4fdc-adc0-c125c7234fc2,995449,"Services involving repair, alterations, additions, replacements, maintenance of the constructions covered above",1,76
0f3a528e-e941-4fce-bce9-3a97b8835823,995451,Pile driving and foundation services,1,76
d08dd720-7c74-4d7b-84fb-51e2e805cb88,995452,Building framing and roof framing services,1,76
d9073847-1e0f-4e32-813e-3a9877c4b61a,995453,Roofing and waterproofing services,1,76
53c3631f-4965-483b-bdcd-a2bb9c866722,995454,Concrete services,1,76
adbeb935-7848-476b-8cf9-19c3e0399fbb,995455,Structural steel erection services,1,76
78df30fa-4042-4211-a357-93aa001ac88f,995456,Masonry services,1,76
a0c33cf0-2207-41a5-93ca-43aa262691bd,995457,Scaffolding services,1,76
326c7289-85b9-4fc3-9212-e3b0e5a42ebb,995458,Other special trade construction services nowhere else classified,1,76
ec8658f7-0197-45f6-99ca-8edcb7b87cc9,995459,"Services involving repair, alterations, additions, replacements, maintenance of the constructions covered above",1,76
fe00ca61-9713-4b89-abe6-b474880cbd1f,995461,"Electrical installation services including Electrical wiring and fitting services, fire alarm installation services, burglar alarm system installation services",1,76
e445fccc-6b10-4dcb-8957-898f4d5c22f8,995462,Water plumbing and drain laying services,1,76
3237d2ab-2d17-48a8-bb84-047b3028da64,995463,"Heating, ventilation and air conditioning equipment installation services",1,76
44fab0c2-1b9d-4ade-acb6-052ee4bda197,995464,Gas fitting installation services,1,76
f8974366-e527-4c30-9121-1e61c825f8e7,995465,Insulation services,1,76
f707ee46-1a36-4899-a29e-1c7a84b8e6d2,995466,Lift and escalator installation services,1,76
0693bc5e-8659-4992-8f67-2c358e18eee3,995468,Other installation services nowhere else classified,1,76
615e46dc-1f79-46ce-a8ec-f6c499eb7718,995469,"Services involving repair, alterations, additions, replacements, maintenance of the installations covered above",1,76
25715a64-49ab-418d-a25c-aeca2ad79b08,995471,Glazing services,1,76
d72da97d-6776-45f5-8212-a15ae79c70bb,995472,Plastering services,1,76
